ROW,SEAT NUMBER,LOCATION,Concatenated ID,,172 SEATS
A,112,Center,A112,,
A,111,Center,A111,,
A,110,Center,A110,,
A,109,Center,A109,,
A,108,Center,A108,,
A,107,Center,A107,,
A,106,Center,A106,,
A,105,Center,A105,,
A,104,Center,A104,,
B,113,Center,B113,,
B,112,Center,B112,,
B,111,Center,B111,,
B,110,Center,B110,,
B,109,Center,B109,,
B,108,Center,B108,,
B,107,Center,B107,,
B,106,Center,B106,,
B,105,Center,B105,,
B,104,Center,B104,,
B,103,Center,B103,,
C,116,Center,C116,,
C,115,Center,C115,,
C,114,Center,C114,,
C,113,Center,C113,,
C,112,Center,C112,,
C,111,Center,C111,,
C,110,Center,C110,,
C,109,Center,C109,,
C,108,Center,C108,,
C,107,Center,C107,,
C,106,Center,C106,,
C,105,Center,C105,,
C,104,Center,C104,,
C,103,Center,C103,,
C,102,Center,C102,,
C,101,Center,C101,,
D,116,Center,D116,,
D,115,Center,D115,,
D,114,Center,D114,,
D,113,Center,D113,,
D,112,Center,D112,,
D,111,Center,D111,,
D,110,Center,D110,,
D,109,Center,D109,,
D,108,Center,D108,,
D,107,Center,D107,,
D,106,Center,D106,,
D,105,Center,D105,,
D,104,Center,D104,,
D,103,Center,D103,,
D,102,Center,D102,,
D,101,Center,D101,,
E,116,Center,E116,,
E,115,Center,E115,,
E,114,Center,E114,,
E,113,Center,E113,,
E,112,Center,E112,,
E,111,Center,E111,,
E,110,Center,E110,,
E,109,Center,E109,,
E,108,Center,E108,,
E,107,Center,E107,,
E,106,Center,E106,,
E,105,Center,E105,,
E,104,Center,E104,,
E,103,Center,E103,,
E,102,Center,E102,,
E,101,Center,E101,,
F,116,Center,F116,,
F,115,Center,F115,,
F,114,Center,F114,,
F,113,Center,F113,,
F,112,Center,F112,,
F,111,Center,F111,,
F,110,Center,F110,,
F,109,Center,F109,,
F,108,Center,F108,,
F,107,Center,F107,,
F,106,Center,F106,,
F,105,Center,F105,,
F,104,Center,F104,,
F,103,Center,F103,,
F,102,Center,F102,,
F,101,Center,F101,,
G,114,Center,G114,,
G,113,Center,G113,,
G,112,Center,G112,,
G,111,Center,G111,,
G,110,Center,G110,,
G,109,Center,G109,,
G,108,Center,G108,,
G,107,Center,G107,,
G,106,Center,G106,,
G,105,Center,G105,,
G,104,Center,G104,,
G,103,Center,G103,,
G,102,Center,G102,,
G,101,Center,G101,,
H,114,Center,H114,,
H,113,Center,H113,,
H,112,Center,H112,,
H,111,Center,H111,,
H,110,Center,H110,,
H,109,Center,H109,,
H,108,Center,H108,,
H,107,Center,H107,,
H,106,Center,H106,,
H,105,Center,H105,,
H,104,Center,H104,,
H,103,Center,H103,,
H,102,Center,H102,,
H,101,Center,H101,,
J,116,Center,J116,,
J,115,Center,J115,,
J,114,Center,J114,,
J,113,Center,J113,,
J,112,Center,J112,,
J,111,Center,J111,,
J,110,Center,J110,,
J,109,Center,J109,,
J,108,Center,J108,,
J,107,Center,J107,,
J,106,Center,J106,,
J,105,Center,J105,,
K,116,Center,K116,,
K,115,Center,K115,,
K,114,Center,K114,,
K,113,Center,K113,,
K,112,Center,K112,,
K,111,Center,K111,,
K,110,Center,K110,,
K,109,Center,K109,,
K,108,Center,K108,,
K,107,Center,K107,,
K,106,Center,K106,,
K,105,Center,K105,,
K,104,Center,K104,,
K,103,Center,K103,,
K,102,Center,K102,,
K,101,Center,K101,,
L,116,Center,L116,,
L,115,Center,L115,,
L,114,Center,L114,,
L,113,Center,L113,,
L,112,Center,L112,,
L,111,Center,L111,,
L,110,Center,L110,,
L,109,Center,L109,,
L,108,Center,L108,,
L,107,Center,L107,,
L,106,Center,L106,,
L,105,Center,L105,,
L,104,Center,L104,,
L,103,Center,L103,,
L,102,Center,L102,,
L,101,Center,L101,,
M,116,Center,M116,,
M,115,Center,M115,,
M,114,Center,M114,,
M,113,Center,M113,,
M,112,Center,M112,,
M,111,Center,M111,,
M,110,Center,M110,,
M,109,Center,M109,,
M,108,Center,M108,,
M,107,Center,M107,,
M,106,Center,M106,,
M,105,Center,M105,,
M,104,Center,M104,,
M,103,Center,M103,,
M,102,Center,M102,,
M,101,Center,M101,,
