ROW,SEAT NUMBER,LOCATION,Concatenated ID
C,7,Left,C7
C,5,Left,C5
C,3,Left,C3
C,1,Left,C1
D,9,Left,D9
D,7,Left,D7
D,5,Left,D5
D,3,Left,D3
D,1,Left,D1
E,11,Left,E11
E,9,Left,E9
E,7,Left,E7
E,5,Left,E5
E,3,Left,E3
E,1,Left,E1
F,13,Left,F13
F,11,Left,F11
F,9,Left,F9
F,7,Left,F7
F,5,Left,F5
F,3,Left,F3
F,1,Left,F1
G,15,Left,G15
G,13,Left,G13
G,11,Left,G11
G,9,Left,G9
G,7,Left,G7
G,5,Left,G5
G,3,Left,G3
G,1,Left,G1
H,19,Left,H19
H,17,Left,H17
H,15,Left,H15
H,13,Left,H13
H,11,Left,H11
H,9,Left,H9
H,7,Left,H7
H,5,Left,H5
H,3,Left,H3
H,1,Left,H1
