ROW,SEAT NUMBER,LOCATION,Concatenated ID,,40 SEATS TOTAL
C,2,Right,C2,,
C,4,Right,C4,,
C,6,Right,C6,,
C,8,Right,C8,,
D,2,Right,D2,,
D,4,Right,D4,,
D,6,Right,D6,,
D,8,Right,D8,,
D,10,Right,D10,,
E,2,Right,E2,,
E,4,Right,E4,,
E,6,Right,E6,,
E,8,Right,E8,,
E,10,Right,E10,,
E,12,Right,E12,,
F,2,Right,F2,,
F,4,Right,F4,,
F,6,Right,F6,,
F,8,Right,F8,,
F,10,Right,F10,,
F,12,Right,F12,,
F,14,Right,F14,,
G,2,Right,G2,,
G,4,Right,G4,,
G,6,Right,G6,,
G,8,Right,G8,,
G,10,Right,G10,,
G,12,Right,G12,,
G,14,Right,G14,,
G,16,Right,G16,,
H,2,Right,H2,,
H,4,Right,H4,,
H,6,Right,H6,,
H,8,Right,H8,,
H,10,Right,H10,,
H,12,Right,H12,,
H,14,Right,H14,,
H,16,Right,H16,,
H,18,Right,H18,,
H,20,Right,H20,,
